2024-10-17 12:57:57
18129284,푸드시너지 고미네 고미고미 고미네 차가버섯 티백 50T,1,23000,4몰,3개,기타 차/티백형/총량: 50T/원산지: 외국산
18129074,푸드시너지 고미네 고미고미 고미네 호박팥차 티백 50T,2,10710,1몰,1개,호박팥차/티백형/총량: 50T/원산지: 국내산
18129083,푸드시너지 고미네 고미고미 고미네 호박팥차 티백 50T,1,27910,1몰,3개,호박팥차/티백형/총량: 50T/원산지: 국내산
18041450,동일에프앤티 애생강차 15T,1개,5000,1몰,333원/1T,생강차/스틱형/총량: 15T/1T당: 15g
62396663,담터 쌍화차 70Tx2개 총140T+,,29900,3몰,,
38703173,샘표식품 순작 도라지생강차 55g 2개,,20600,10몰,,
32902607,쌍계명차 티허그 티캔 지리산 돌배차 12티백,1개,16740,3몰,"1,395원/1개입",한방차/티백형
61725482,쌍계명차 왕의한차 계피생강차 10티백,1개,2760,9몰,276원/1개입,생강차/티백형
17903648,남도농산 더가볍게 덖음 우엉차 100g,1개,12890,1몰,"1,289원/10g",우엉차/원물(잎차)
64799555,광야식품 늘감사 추억의 동의 쌍화차 30개입,1개,6820,8몰,227원/1개입,쌍화차/스틱형
53516654,참건강마을 양파껍질차 20티백,2개,18530,5몰,463원/1개입,티백형
17889218,참앤들황토농원 돼지감자 50T,1,9810,9몰,1개,돼지감자차/티백형/총량: 50T/1T당: 1g
17889248,참앤들황토농원 돼지감자 50T,2,17010,9몰,2개,돼지감자차/티백형/총량: 50T/1T당: 1g
17889359,참앤들황토농원 돼지감자 50T,3개,25110,7몰,167원/1T,돼지감자차/티백형/총량: 50T/1T당: 1g
17889398,참앤들황토농원 돼지감자 50T,4개,36810,6몰,184원/1T,돼지감자차/티백형/총량: 50T/1T당: 1g
17889422,참앤들황토농원 돼지감자 50T,5개,44910,6몰,180원/1T,돼지감자차/티백형/총량: 50T/1T당: 1g
17888861,참앤들황토농원 쑥차 50T,1,9810,7몰,1개,기타 차/티백형/총량: 50T/1T당: 1g
17888963,참앤들황토농원 쑥차 50T,2,17010,6몰,2개,기타 차/티백형/총량: 50T/1T당: 1g
17889023,참앤들황토농원 쑥차 50T,3개,25110,6몰,167원/1T,기타 차/티백형/총량: 50T/1T당: 1g
17889068,참앤들황토농원 쑥차 50T,4개,36810,5몰,184원/1T,기타 차/티백형/총량: 50T/1T당: 1g
17889098,참앤들황토농원 쑥차 50T,5개,44910,5몰,180원/1T,기타 차/티백형/총량: 50T/1T당: 1g
17881064,구일종합식품 하이네 프리미엄 쌍화차 50T,1,10900,2몰,1개,쌍화차/스틱형/총량: 50T/1T당: 15g
17881145,구일종합식품 하이네 프리미엄 쌍화차 50T,2,21120,1몰,2개,쌍화차/스틱형/총량: 50T/1T당: 15g
27912890,구일종합식품 하이네 프리미엄 쌍화차 50T,3개,29430,1몰,196원/1T,쌍화차/스틱형/총량: 50T/1T당: 15g
17881967,광야식품 늘감사 추억의 대추 생강차 30T,1개,7690,3몰,256원/1T,생강차/스틱형/총량: 30T/1T당: 16g
17881649,광야식품 늘감사 추억의 동의 쌍화차 30T,1개,6820,1몰,227원/1T,쌍화차/스틱형/총량: 30T/1T당: 16g
17881229,구일종합식품 하이네 프리미엄 콘푸레이크 천마차 50T,2,9990,1몰,1개,천마차/스틱형/총량: 50T/1T당: 18g
17881247,구일종합식품 하이네 프리미엄 콘푸레이크 천마차 50T,1,21297,3몰,2개,천마차/스틱형/총량: 50T/1T당: 18g
17865500,김현숙손맛 블루파머 농부가 생강청 900ml,1개,27260,1몰,"3,029원/100ml",생강차/액상
17865353,이마트 노브랜드 생강청 580g,1개,7000,3몰,121원/10g,생강차/액상
17864945,린츠 본랩 프리미엄 김소형 쌍화차 50T,1,30020,7몰,1개,쌍화차/스틱형/총량: 50T/1T당: 15g
17864963,린츠 본랩 프리미엄 김소형 쌍화차 50T,2,54590,6몰,2개,쌍화차/스틱형/총량: 50T/1T당: 15g
17864996,린츠 본랩 프리미엄 김소형 쌍화차 50T,3개,121600,2몰,811원/1T,쌍화차/스틱형/총량: 50T/1T당: 15g
61829150,양원농장 계피차 10티백,1개,2700,1몰,270원/1개입,한방차/티백형
17850134,참앤들황토농원 생강차 50T,1,9810,11몰,1개,생강차/티백형/총량: 50T/1T당: 2g
17850158,참앤들황토농원 생강차 50T,2,17010,7몰,2개,생강차/티백형/총량: 50T/1T당: 2g
17850182,참앤들황토농원 생강차 50T,3개,25110,6몰,167원/1T,생강차/티백형/총량: 50T/1T당: 2g
17850209,참앤들황토농원 생강차 50T,4개,36810,6몰,184원/1T,생강차/티백형/총량: 50T/1T당: 2g
17850224,참앤들황토농원 생강차 50T,5개,45480,5몰,182원/1T,생강차/티백형/총량: 50T/1T당: 2g
17848319,담터 도라지차 50T,1개,12220,1몰,244원/1T,도라지차/스틱형/총량: 50T/1T당: 0.8g
60330932,청년농원 야관문차 50티백,1개,24800,2몰,496원/1개입,야관문차/티백형
48923825,산들해 야관문차 100티백,1개,13500,1몰,135원/1개입,침출차/티백형
33459218,다정 다미즐 허니 오리지날 생강 7개입,1개,5600,3몰,800원/1개입,생강차/액상/스틱형
32612189,광야식품 늘감사 아몬드 양배추 마차 50개입,1개,17700,1몰,354원/1개입,스틱형
17750375,쌍계명차 김동곤 명인의 우엉차 20T,1개,9900,1몰,495원/1T,우엉차/티백형/총량: 20T/1T당: 1.3g
17698859,토종마을 마늘껍질차 30T,1,10620,17몰,1개,기타 차/티백형/총량: 30T/1T당: 0.8g
17698895,토종마을 마늘껍질차 30T,2,18810,16몰,2개,기타 차/티백형/총량: 30T/1T당: 0.8g
17698961,토종마을 마늘껍질차 30T,3개,25490,11몰,283원/1T,기타 차/티백형/총량: 30T/1T당: 0.8g
68081717,청년농원 저온가공 돼지감자차 삼각티백 1g 50개,"24,800원/100g",12400,3몰,,돼지감자차/티백형
17513378,쌍계명차 김동곤 명인의 우엉차 100T,1,7470,18몰,1개,우엉차/티백형/총량: 100T/1T당: 1g
17513390,쌍계명차 김동곤 명인의 우엉차 100T,2,15290,8몰,2개,우엉차/티백형/총량: 100T/1T당: 1g
68468780,다정헌 국산 돼지감자차 1.5g 20티백,1개,8160,2몰,408원/1개입,돼지감자차/티백형
68468717,다정헌 유기농 국산 여주차 1.5g 20티백,1개,6920,5몰,346원/1개입,여주차/티백형
68468696,다정헌 유기농 국산 도라지차 1.5g 20티백,1개,7920,2몰,396원/1개입,도라지차/티백형
17410796,(주)태극인 자연닮음 볶은 겨우살이 150g,1개,10900,3몰,727원/10g,기타 차/원물(잎차)
17336204,오대산식품 정성다린 호박팥차 20T,1개,13250,2몰,663원/1T,호박팥차/티백형/총량: 20T/1T당: 2g
62787155,티랑 순수 호박팥차 2g x 20티백 X 2봉,,13485,8몰,,
17292575,참들애바이오푸드 도라지 맥문동청 350g,1개,25000,1몰,714원/10g,도라지차/액상/원산지: 국내산
